MHz,500,,,,,,,,,http://www.glycosciences.de/database/start.php?action=explore_linucsid&linucsid=212&show=17#nmr
Temperature,300,,,,,,,,,[][D-GLC]{[(4+1)][B-D-GALP]{[(3+1)][B-D-GLCPNAC]{[(3+1)][A-L-FUCP]{}[(4+1)][B-D-GALP]{}}}}
Solvent,D2O,,,,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note,,,
D-Glc, , H1A,5.219, , ,0, ,,,
D-Glc, , H1B,4.661, , ,0, ,,,
D-Glc, , H2A,3.584, , ,0, ,,,
D-Glc, , H2B,3.286, , ,0, ,,,
D-Glc, , H3A,3.826, , ,0, ,,,
D-Glc, , H3B,3.632, , ,0, ,,,
D-Glc, , H4A,3.65, , ,0, ,,,
D-Glc, , H4B,3.651, , ,0, ,,,
D-Glc, , H5A,3.935, , ,0, ,,,
D-Glc, , H5B,3.6, , ,0, ,,,
D-Glc, , H6A,3.861, , ,0, ,,,
b-D-Galp,4, H1,4.434, , ,0, ,,,
b-D-Galp,4, H2,3.584, , ,0, ,,,
b-D-Galp,4, H3,3.719, , ,0, ,,,
b-D-Galp,4, H4,4.155, , ,0, ,,,
b-D-Galp,4, H5,3.716, , ,0, ,,,
b-D-Galp,4, H6,3.769, , ,0, ,,,
b-D-GlcpNAc," 3,4", H1,4.719, , ,0, ,,,
b-D-GlcpNAc," 3,4", H2,3.958, , ,0, ,,,
b-D-GlcpNAc," 3,4", H3,3.876, , ,0, ,,,
b-D-GlcpNAc," 3,4", H4,3.627, , ,0, ,,,
b-D-GlcpNAc," 3,4", H5,3.548, , ,0, ,,,
b-D-GlcpNAc," 3,4", H6,3.918, , ,0, ,,,
b-D-GlcpNAc," 3,4", NAC,2.026, , ,0, ,,,
b-D-Galp," 4,3,4", H1,4.463, , ,0, ,,,
b-D-Galp," 4,3,4", H2,3.493, , ,0, ,,,
b-D-Galp," 4,3,4", H3,3.956, , ,0, ,,,
b-D-Galp," 4,3,4", H4,3.893, , ,0, ,,,
b-D-Galp," 4,3,4", H6,3.73, , ,0, ,,,
a-L-Fucp," 3,3,4", H1,5.128, , ,0, ,,,
a-L-Fucp," 3,3,4", H2,3.691, , ,0, ,,,
a-L-Fucp," 3,3,4", H3,3.895, , ,0, ,,,
a-L-Fucp," 3,3,4", H4,3.793, , ,0, ,,,
a-L-Fucp," 3,3,4", H5,4.832, , ,0, ,,,
a-L-Fucp," 3,3,4", CH3,1.173, , ,0, ,,,
