MHz,300,,,,,,
Temperature,353,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-GalpNAc, , H1,4.53,1,2,8.5, 
b-D-GalpNAc, , H2,4.03,2,3,10.5, 
b-D-GalpNAc, , H3,3.8,3,4,4, 
b-D-GalpNAc, , H4,4.12,4,5,2, 
b-D-GalpNAc, , H5,3.63, , ,0, 
b-D-GalpNAc, , H6,3.7, , ,0, 
a-D-Galp,3, H1,5.06,1,2,4, 
a-D-Galp,3, H2,3.87,2,3,10, 
a-D-Galp,3, H3,3.78,3,4,3, 
a-D-Galp,3, H4,4.15,4,5,2, 
a-D-Galp,3, H5,3.82, , ,0, 
a-D-Galp,3, H6,3.72, , ,0, 
b-D-GalpNAc3Ac," 3,3", H1,4.75,1,2,9, 
b-D-GalpNAc3Ac," 3,3", H2,4.17,2,3,11, 
b-D-GalpNAc3Ac," 3,3", H3,5.03,3,4,3, 
b-D-GalpNAc3Ac," 3,3", H4,4.21,4,5,2, 
b-D-GalpNAc3Ac," 3,3", H5,3.71, , ,0, 
b-D-GalpNAc3Ac," 3,3", H6,3.75, , ,0, 
b-D-GlcpA," 4,3,3", H1,4.43,1,2,8, 
b-D-GlcpA," 4,3,3", H2,3.42,2,3,9, 
b-D-GlcpA," 4,3,3", H3,3.7,3,4,9, 
b-D-GlcpA," 4,3,3", H4,3.75,4,5,9, 
b-D-GlcpA," 4,3,3", H5,3.78, , ,0, 
a-D-Glcp," 4,4,3,3", H1,5.39,1,2,4, 
a-D-Glcp," 4,4,3,3", H2,3.43,2,3,9.5, 
a-D-Glcp," 4,4,3,3", H3,3.64,3,4,9.5, 
a-D-Glcp," 4,4,3,3", H4,3.37,4,5,9.5, 
a-D-Glcp," 4,4,3,3", H5,3.76,5,6,2, 
a-D-Glcp," 4,4,3,3", H61,4.02,5, 6',3, 
a-D-Glcp," 4,4,3,3", H62,3.82,6, 6',12,
b-D-GalpNAc, , C1,102.4, C1, H1,161, 
b-D-GalpNAc, , C2,51.6, , ,0, 
b-D-GalpNAc, , C3,76.4, , ,0, 
b-D-GalpNAc, , C4,64.9, , ,0, 
b-D-GalpNAc, , C5,75.5, , ,0, 
b-D-GalpNAc, , C6,61.6, , ,0, 
b-D-GalpNAc, , CO,175.2, , ,0, a
b-D-GalpNAc, , CH3,23, , ,0, b
a-D-Galp,3, C1,96.1, C1, H1,170, 
a-D-Galp,3, C2,67.8, , ,0, 
a-D-Galp,3, C3,80.4, , ,0, 
a-D-Galp,3, C4,69.7, , ,0, 
a-D-Galp,3, C5,71.7, , ,0, 
a-D-Galp,3, C6,61.8, , ,0, 
b-D-GalpNAc3Ac," 3,3", C1,103.4, C1, H1,164.5, 
b-D-GalpNAc3Ac," 3,3", C2,52, , ,0, 
b-D-GalpNAc3Ac," 3,3", C3,73.7, , ,0, 
b-D-GalpNAc3Ac," 3,3", C4,73.8, , ,0, 
b-D-GalpNAc3Ac," 3,3", C5,75, , ,0, 
b-D-GalpNAc3Ac," 3,3", C6,61.5, , ,0, 
b-D-GalpNAc3Ac," 3,3", CO,175.5, , ,0, a
b-D-GalpNAc3Ac," 3,3", CH3,23.3, , ,0, b
b-D-GalpNAc3Ac," 3,3", 3ACCH3,21, , ,0, 
b-D-GlcpA," 4,3,3", C1,103.9, C1, H1,164.5, 
b-D-GlcpA," 4,3,3", C2,74.2, , ,0, 
b-D-GlcpA," 4,3,3", C3,76.9, , ,0, 
b-D-GlcpA," 4,3,3", C4,77.5, , ,0, 
b-D-GlcpA," 4,3,3", C5,77.1, , ,0, 
b-D-GlcpA," 4,3,3", C6,173.8, , ,0, 
a-D-Glcp," 4,4,3,3", C1,98.8, C1, H1,174.5, 
a-D-Glcp," 4,4,3,3", C2,72.5, , ,0, 
a-D-Glcp," 4,4,3,3", C3,73.6, , ,0, 
a-D-Glcp," 4,4,3,3", C4,70, , ,0, 
a-D-Glcp," 4,4,3,3", C5,71.5, , ,0, 
a-D-Glcp," 4,4,3,3", C6,68.6, , ,0,
