MHz,400.13,,,,,,
Temperature,70,,,,,,
Solvent,DMSOd6,,,,,,
Spectrometer,Bruker Avance DPX 400.13,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
A-L-RHAP, , H1,5.07, , , , note
A-L-RHAP, , H2,3.51, , , , note
A-L-RHAP, , H3,3.59, , , , note
A-L-RHAP, , H4,2.96, , , , note
A-L-RHAP, , H5,4.24, , , , note
A-L-RHAP, , H6,1.11, , , , note
A-D-GLCP,1, H1,5.02, , , , note
A-D-GLCP,1, H2,3.2, , , , note
A-D-GLCP,1, H3,3.78, , , , note
A-D-GLCP,1, H4,3.68, , , , note
A-D-GLCP,1, H5,4, , , , note
A-D-GLCP,1, H61,3.43, , , , note
A-D-GLCP,1, H62,3.6, , , , note
B-D-GLCP," 1, 4", H1,4.32, , , , note
B-D-GLCP," 1, 4", H2,2.84, , , , note
B-D-GLCP," 1, 4", H3,3.16, , , , note
B-D-GLCP," 1, 4", H4,3.26, , , , note
B-D-GLCP," 1, 4", H5,3.28, , , , note
B-D-GLCP," 1, 4", H61,3.48, , , , note
B-D-GLCP," 1, 4", H62,3.88, , , , note
B-L-RHAP," 1, 4, 4", H1,4.6, , , , note
B-L-RHAP," 1, 4, 4", H2,3.69, , , , note
B-L-RHAP," 1, 4, 4", H3,3.54, , , , note
B-L-RHAP," 1, 4, 4", H4,3.03, , , , note
B-L-RHAP," 1, 4, 4", H5,3.15, , , , note
B-L-RHAP," 1, 4, 4", H6,1.24, , , , note
A-D-GLCP," 1, 4, 4, 3", H1,5.14, , , , note
A-D-GLCP," 1, 4, 4, 3", H2,3.2, , , , note
A-D-GLCP," 1, 4, 4, 3", H3,3.41, , , , note
A-D-GLCP," 1, 4, 4, 3", H4,3.55, , , , note
A-D-GLCP," 1, 4, 4, 3", H5,3.83, , , , note
A-D-GLCP," 1, 4, 4, 3", H61,3.52, , , , note
A-D-GLCP," 1, 4, 4, 3", H62,3.69, , , , note
A-L-RHAP," 1, 4, 4, 3, 4", H1,4.83, , , , note
A-L-RHAP," 1, 4, 4, 3, 4", H2,3.91, , , , note
A-L-RHAP," 1, 4, 4, 3, 4", H3,3.38, , , , note
A-L-RHAP," 1, 4, 4, 3, 4", H4,3.04, , , , note
A-L-RHAP," 1, 4, 4, 3, 4", H5,3.76, , , , note
A-L-RHAP," 1, 4, 4, 3, 4", H6,1.18, , , , note
A-L-RHAP, , C1,97.8, , , , note
A-L-RHAP, , C2,78.2, , , , note
A-L-RHAP, , C3,80.8, , , , note
A-L-RHAP, , C4,83, , , , note
A-L-RHAP, , C5,67.1, , , , note
A-L-RHAP, , C6,18.7, , , , note
A-D-GLCP,1, C1,95.6, , , , note
A-D-GLCP,1, C2,83.2, , , , note
A-D-GLCP,1, C3,74.7, , , , note
A-D-GLCP,1, C4,73.5, , , , note
A-D-GLCP,1, C5,71.5, , , , note
A-D-GLCP,1, C6,72, , , , note
B-D-GLCP," 1, 4", C1,101.9, , , , note
B-D-GLCP," 1, 4", C2,84.8, , , , note
B-D-GLCP," 1, 4", C3,86.5, , , , note
B-D-GLCP," 1, 4", C4,76.8, , , , note
B-D-GLCP," 1, 4", C5,75.3, , , , note
B-D-GLCP," 1, 4", C6,72.4, , , , note
B-L-RHAP," 1, 4, 4", C1,102.2, , , , note
B-L-RHAP," 1, 4, 4", C2,77.4, , , , note
B-L-RHAP," 1, 4, 4", C3,77.7, , , , note
B-L-RHAP," 1, 4, 4", C4,81.8, , , , note
B-L-RHAP," 1, 4, 4", C5,71.9, , , , note
B-L-RHAP," 1, 4, 4", C6,18.5, , , , note
A-D-GLCP," 1, 4, 4, 3", C1,93, , , , note
A-D-GLCP," 1, 4, 4, 3", C2,82.2, , , , note
A-D-GLCP," 1, 4, 4, 3", C3,81.8, , , , note
A-D-GLCP," 1, 4, 4, 3", C4,75.8, , , , note
A-D-GLCP," 1, 4, 4, 3", C5,70.7, , , , note
A-D-GLCP," 1, 4, 4, 3", C6,70.9, , , , note
A-L-RHAP," 1, 4, 4, 3, 4", C1,98.3, , , , note
A-L-RHAP," 1, 4, 4, 3, 4", C2,74.5, , , , note
A-L-RHAP," 1, 4, 4, 3, 4", C3,80.8, , , , note
A-L-RHAP," 1, 4, 4, 3, 4", C4,82.4, , , , note
A-L-RHAP," 1, 4, 4, 3, 4", C5,68.5, , , , note
A-L-RHAP," 1, 4, 4, 3, 4", C6,18.3, , , , note
