MHz,360,,,,,,
Temperature,300,,,,,,
Solvent,DMSO d6/ D2O,,,,,,
Spectrometer,Bruker DRX 360,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-L-ARAP, , H1,5.24, , , , note
B-L-ARAP, , H2,3.96, , , , note
B-L-ARAP, , H3,3.97, , , , note
B-L-ARAP, , H4,4.15, , , , note
B-L-ARAP, , H51,4.02, , , , note
B-L-ARAP, , H52,3.64, , , , note
B-D-XYLP,3, H1,4.6, , , , note
B-D-XYLP,3, H2,3.35, , , , note
B-D-XYLP,3, H3,3.44, , , , note
B-D-XYLP,3, H4,3.61, , , , note
B-D-XYLP,3, H51,3.93, , , , note
B-D-XYLP,3, H52,3.3, , , , note
B-L-ARAP, , C1,93.3, , , , note
B-L-ARAP, , C2,68.2, , , , note
B-L-ARAP, , C3,79.1, , , , note
B-L-ARAP, , C4,69.3, , , , note
B-L-ARAP, , C5,62.9, , , , note
B-D-XYLP,3, C1,105, , , , note
B-D-XYLP,3, C2,74, , , , note
B-D-XYLP,3, C3,76.3, , , , note
B-D-XYLP,3, C4,70, , , , note
B-D-XYLP,3, C5,65.9, , , , note
